recipe_id,length,sentiment,topics,persona_name,characteristics.age,characteristics.gender_identity,characteristics.occupation,characteristics.political_leaning,characteristics.communication_style,characteristics.core_motivation
rID_6,Medium,Positive,['Housing & Planning'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_255,Medium,Very Negative,['Mental Health Services'],The Military Veteran,58,Male,Retired / Security work,"Tends to be patriotic and socially conservative, but critical of government support.","Direct, sometimes blunt, with a strong sense of entitlement to support.",A feeling of being let down by the system after serving the country.
rID_1082,Medium,Very Negative,"['Healthcare & NHS', 'Energy & Utilities']",The 'Urban Progressive' Tech Worker,32,Non-binary,Software Developer,"Strongly progressive, likely a Green or Labour voter.","Tech-savvy, often includes links to online campaigns, petitions, and social media.","Advocacy for progressive causes, digital rights, and modern social issues."
rID_772,Medium,Very Positive,['Cost of Living & Economy'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_721,Medium,Very Negative,['Immigration & Asylum'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_189,Medium,Mixed,['Planning & Development'],The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_458,Medium,Mixed,['Healthcare & NHS'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_934,Medium,Very Positive,"['Local Government & Council Tax', ""Employment & Workers' Rights""]",The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_862,Short,Very Negative,['Social Security & Benefits'],The Concerned Grandparent,75,Female,Retired,Tends to be socially conservative but concerned about public services; a swing voter.,"Heartfelt, expressing a mix of nostalgia and anxiety for the future.",Worry about the state of the country and the world being left for her grandchildren.
rID_1225,Long,Negative,"[""Employment & Workers' Rights"", 'Cost of Living & Economy', 'Transportation & Infrastructure']",The Recent Immigrant,30,Female,"Varies (e.g., NHS worker, student)","Generally not yet engaged, focused on integration.","Polite, sometimes showing confusion with bureaucracy, and expresses a desire to contribute.",Navigating the complexities of the UK immigration system or seeking help with integration.
rID_139,Medium,Very Positive,['Local Government & Council Tax'],The 'NIMBY' Homeowner,58,Female,Homeowner in a prosperous area,"Politically conservative, focused on local issues.","Polite but firm, well-written, and assertive.",Preserving her property value and the 'character' of her neighbourhood by opposing local developments.
rID_211,Medium,Neutral,['Transportation & Infrastructure'],The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_1103,Medium,Neutral,"['Education & Schools', 'Healthcare & NHS']",The Individual Facing a Legal Injustice,40,Male,Varies,"Focused on their specific case, not party politics.","A detailed and impassioned account of their case, possibly with legal jargon.",A belief that they have been wronged by the legal system and the MP is a final court of appeal.
rID_315,Medium,Neutral,['Crime & Community Safety'],The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_1004,Medium,Very Positive,"['Culture, Media & Sport', 'Cost of Living & Economy']",The Agricultural Worker,25,Male,Seasonal / Migrant Farm Worker,Often unaware of political rights or too precarious to engage.,"May be in hesitant or broken English, direct and factual about their situation.","Experiencing exploitation, poor living conditions, or issues with pay."
rID_387,Medium,Very Positive,['Cost of Living & Economy'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_815,Medium,Negative,"['Culture, Media & Sport']",The Concerned Grandparent,75,Female,Retired,Tends to be socially conservative but concerned about public services; a swing voter.,"Heartfelt, expressing a mix of nostalgia and anxiety for the future.",Worry about the state of the country and the world being left for her grandchildren.
rID_662,Long,Negative,['Pensions & National Insurance'],The Devout Religious Leader,50,Male,Vicar / Imam / Rabbi,"Varies, but often socially conservative with a focus on community cohesion and charity.","Respectful, guided by faith, and often appealing to the MP's moral compass.",Advocating for their religious community and promoting faith-based values in society.
rID_755,Medium,Very Positive,['Animal Welfare'],The Adult with Learning Disabilities,29,Female,May be in supported employment or unemployed,Unlikely to be engaged in party politics.,"Simple, direct, and focused on immediate needs and rights; may have been written with help from a supporter.",Difficulty accessing services or exercising their rights.
rID_719,Medium,Very Negative,['Trade & Brexit Issues'],The Apathetic Teenager,18,Male,Student / Unemployed,Low interest and knowledge of politics.,"Very informal, uses slang, may be very short.","A very specific, personal, and immediate issue (e.g., closure of a local skatepark)."
rID_490,Short,Neutral,['Immigration & Asylum'],The Small Business Owner,48,Male,Local Shop/Cafe Owner,"Politically fluid, votes based on policies affecting small businesses.","Direct, can show stress and frustration related to business pressures.",Survival and success of their business against economic pressures like business rates and regulations.
rID_317,Medium,Very Positive,['Pensions & National Insurance'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_1105,Medium,Negative,"['Healthcare & NHS', 'Planning & Development']",The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_1130,Medium,Positive,"['Healthcare & NHS', 'Immigration & Asylum']",The 'Disengaged Traditionalist',68,Female,Retired,Believes in traditional values but is generally suspicious and tired of all politics.,"Short, to the point, and written with a sense of duty rather than any real expectation of a result.",A specific local nuisance or a matter of principle has prompted a reluctant letter.
rID_1212,Medium,Very Negative,"['Environment & Climate Change', 'Energy & Utilities', 'Trade & Brexit Issues']",The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
